"STATION","NAME","DATE","AWND","SNOW","TMAX","TMIN"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-11","8.50","0.0","85","66"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-12","12.53","0.0","66","57"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-13","13.42","0.0","71","51"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-14","12.75","0.0","75","58"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-15","5.37","0.0","73","55"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-16","6.49","0.0","72","52"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-17","3.36","0.0","74","48"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-18","4.47","0.0","75","49"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-19","4.92","0.0","76","48"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-20","5.14","0.0","79","53"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-21","5.82","0.0","85","56"
"USW00014768","ROCHESTER GREATER INTERNATIONAL, NY US","2019-09-22","8.05","0.0","88","65"
